familia
familiar
familiares
primo
hermano
hijo
compadre
cuñado
amigo
socio
padre
faltas administrativas
ambiental
delito
delincuencia
delictivo
narcotráfico
discriminación
penal
juicio
acusar
acusado
acusación
clientelismo
acarreados
regalar cosas
enriquecimiento ilícito
desvío de recursos
contratos
obras públicas
tráfico de influencias
nepotismo
corrupción
deuda
ausentismo
chapulineo
vacaciones
lugar de residencia
estadísticas
inseguridad
represión
desempleo
detención ilegal
carencia de servicios
inundaciones
pavimentación
baches
