1, Margarita Arellanes
1, Alcaldesa de Monterrey
1, Margarinflas
2, Felipe de Jesús Cantú
2, FdJC
3, Alfredo Rodríguez
4, Ugo Ruíz
4, Hugo Ruíz
4, HR
4, Alcalde de San Pedro
5, Homero Niño de Rivera
6, Bernardo Bichara
7, Francisco Cienfuegos
8, Cristina Díaz
8, CD
9, Carlos Barona
10, Pedro Pablo Treviño
11, Ivonne Álvarez
12, Jorge Domene
13, Jaime Rodríguez
13, El Bronco
14, Jesús María Elizondo
14, Chema Elizondo
